,CRIM,ZN,INDUS,CHAS,NOX,RM,AGE,DIS,RAD,TAX,PTRATIO
208,0.13587,0.0,10.59,1,0.489,6.064,59.1,4.2392,4,277.0,18.6
212,0.21719,0.0,10.59,1,0.489,5.807,53.8,3.6526,4,277.0,18.6
216,0.0456,0.0,13.89,1,0.55,5.888,56.0,3.1121,5,276.0,16.4
234,0.44791,0.0,6.2,1,0.507,6.726,66.5,3.6519,8,307.0,17.4
236,0.52058,0.0,6.2,1,0.507,6.631,76.5,4.148,8,307.0,17.4
269,0.09065,20.0,6.96,1,0.464,5.92,61.5,3.9175,3,223.0,18.6
273,0.22188,20.0,6.96,1,0.464,7.691,51.8,4.3665,3,223.0,18.6
274,0.05644,40.0,6.41,1,0.447,6.758,32.9,4.0776,4,254.0,17.6
276,0.10469,40.0,6.41,1,0.447,7.267,49.0,4.7872,4,254.0,17.6
277,0.06127,40.0,6.41,1,0.447,6.826,27.6,4.8628,4,254.0,17.6
282,0.06129,20.0,3.33,1,0.4429,7.645,49.7,5.2119,5,216.0,14.9
283,0.01501,90.0,1.21,1,0.401,7.923,24.8,5.885,1,198.0,13.6
